Time;GPU Utilization
17/12/2025 16:23;0%
17/12/2025 16:23;0%
17/12/2025 16:24;24%
17/12/2025 16:24;75,80%
17/12/2025 16:25;76,30%
17/12/2025 16:25;84,20%
17/12/2025 16:26;81,70%
17/12/2025 16:26;82,30%
17/12/2025 16:27;71,50%
17/12/2025 16:27;70,50%
17/12/2025 16:28;82,80%
17/12/2025 16:28;84,20%
17/12/2025 16:29;79,80%
17/12/2025 16:29;78,30%
17/12/2025 16:30;70,80%
17/12/2025 16:30;69,80%
17/12/2025 16:31;64,70%
17/12/2025 16:31;70,30%
17/12/2025 16:32;74,50%
17/12/2025 16:32;72,80%
17/12/2025 16:33;70,20%
17/12/2025 16:33;54,50%
17/12/2025 16:34;69,20%
17/12/2025 16:34;69,80%
17/12/2025 16:35;69,30%
17/12/2025 16:35;80,80%
17/12/2025 16:36;78,80%
17/12/2025 16:36;57,80%
17/12/2025 16:37;69,70%
17/12/2025 16:37;57,20%
17/12/2025 16:38;70,30%
17/12/2025 16:38;76,70%
17/12/2025 16:39;65,50%
17/12/2025 16:39;73%
17/12/2025 16:40;70,20%
17/12/2025 16:40;46,70%
17/12/2025 16:41;70,70%
17/12/2025 16:41;69,30%
17/12/2025 16:42;69,20%
17/12/2025 16:42;65%
17/12/2025 16:43;59,70%
17/12/2025 16:43;70,80%
17/12/2025 16:44;69,50%
17/12/2025 16:44;71,50%
17/12/2025 16:45;70%
17/12/2025 16:45;56,20%
17/12/2025 16:46;75,50%
17/12/2025 16:46;69,80%
17/12/2025 16:47;68,70%
17/12/2025 16:47;67,80%
17/12/2025 16:48;70,20%
17/12/2025 16:48;70,20%
17/12/2025 16:49;68%
17/12/2025 16:49;72,20%
17/12/2025 16:50;70,30%
17/12/2025 16:50;57,70%
17/12/2025 16:51;69,70%
17/12/2025 16:51;56%
17/12/2025 16:52;55,20%
17/12/2025 16:52;70,80%
17/12/2025 16:53;79,80%
17/12/2025 16:53;73,80%
17/12/2025 16:54;70,80%
17/12/2025 16:54;67,30%
17/12/2025 16:55;61,70%
17/12/2025 16:55;70,30%
17/12/2025 16:56;71,50%
17/12/2025 16:56;74,30%
17/12/2025 16:57;78,80%
17/12/2025 16:57;39%
17/12/2025 16:58;55,70%
17/12/2025 16:58;70,20%
17/12/2025 16:59;61,70%
17/12/2025 16:59;37,50%
17/12/2025 17:00;70,80%
17/12/2025 17:00;69,20%
17/12/2025 17:01;73,70%
17/12/2025 17:01;62,80%
17/12/2025 17:02;70,50%
17/12/2025 17:02;68,30%
17/12/2025 17:03;66%
17/12/2025 17:03;58,20%
17/12/2025 17:04;64,70%
17/12/2025 17:04;68,70%
17/12/2025 17:05;69,50%
17/12/2025 17:05;55,30%
17/12/2025 17:06;69,30%
17/12/2025 17:06;56%
17/12/2025 17:07;75%
17/12/2025 17:07;61,80%
17/12/2025 17:08;70,80%
17/12/2025 17:08;63,70%
17/12/2025 17:09;55,30%
17/12/2025 17:09;69%
17/12/2025 17:10;56%
17/12/2025 17:10;79%
17/12/2025 17:11;52,80%
17/12/2025 17:11;47,80%
17/12/2025 17:12;66,70%
17/12/2025 17:12;69,80%
17/12/2025 17:13;43,70%
17/12/2025 17:13;39%
17/12/2025 17:14;73,20%
17/12/2025 17:14;61%
17/12/2025 17:15;47%
17/12/2025 17:15;71%
17/12/2025 17:16;25%
17/12/2025 17:16;39,20%
17/12/2025 17:17;27,20%
17/12/2025 17:17;55,80%
17/12/2025 17:18;26,30%
17/12/2025 17:18;54,30%
17/12/2025 17:19;40%
17/12/2025 17:19;40%
17/12/2025 17:20;38,30%
17/12/2025 17:20;24,70%
17/12/2025 17:21;41,20%
17/12/2025 17:21;63,80%
17/12/2025 17:22;40,70%
17/12/2025 17:22;47,70%
;63%
