Time;GPU Memory Used (%)
17/12/2025 16:23;0%
17/12/2025 16:23;0%
17/12/2025 16:24;5,49%
17/12/2025 16:24;15,80%
17/12/2025 16:25;15,80%
17/12/2025 16:25;15,80%
17/12/2025 16:26;15,80%
17/12/2025 16:26;15,80%
17/12/2025 16:27;15,80%
17/12/2025 16:27;15,80%
17/12/2025 16:28;15,80%
17/12/2025 16:28;15,80%
17/12/2025 16:29;15,80%
17/12/2025 16:29;15,80%
17/12/2025 16:30;15,80%
17/12/2025 16:30;15,80%
17/12/2025 16:31;15,80%
17/12/2025 16:31;15,80%
17/12/2025 16:32;15,80%
17/12/2025 16:32;15,80%
17/12/2025 16:33;15,80%
17/12/2025 16:33;15,80%
17/12/2025 16:34;15,80%
17/12/2025 16:34;15,80%
17/12/2025 16:35;15,80%
17/12/2025 16:35;15,80%
17/12/2025 16:36;15,80%
17/12/2025 16:36;15,80%
17/12/2025 16:37;15,80%
17/12/2025 16:37;15,80%
17/12/2025 16:38;15,80%
17/12/2025 16:38;15,80%
17/12/2025 16:39;15,80%
17/12/2025 16:39;15,80%
17/12/2025 16:40;15,80%
17/12/2025 16:40;15,80%
17/12/2025 16:41;15,80%
17/12/2025 16:41;15,80%
17/12/2025 16:42;15,80%
17/12/2025 16:42;15,80%
17/12/2025 16:43;15,80%
17/12/2025 16:43;15,80%
17/12/2025 16:44;15,80%
17/12/2025 16:44;15,80%
17/12/2025 16:45;15,80%
17/12/2025 16:45;15,80%
17/12/2025 16:46;15,80%
17/12/2025 16:46;15,80%
17/12/2025 16:47;15,80%
17/12/2025 16:47;15,80%
17/12/2025 16:48;15,80%
17/12/2025 16:48;15,80%
17/12/2025 16:49;15,80%
17/12/2025 16:49;15,80%
17/12/2025 16:50;15,80%
17/12/2025 16:50;15,80%
17/12/2025 16:51;15,80%
17/12/2025 16:51;15,80%
17/12/2025 16:52;15,80%
17/12/2025 16:52;15,80%
17/12/2025 16:53;15,80%
17/12/2025 16:53;15,80%
17/12/2025 16:54;15,80%
17/12/2025 16:54;15,80%
17/12/2025 16:55;15,80%
17/12/2025 16:55;15,80%
17/12/2025 16:56;15,80%
17/12/2025 16:56;15,80%
17/12/2025 16:57;15,80%
17/12/2025 16:57;15,80%
17/12/2025 16:58;15,80%
17/12/2025 16:58;15,80%
17/12/2025 16:59;15,80%
17/12/2025 16:59;15,80%
17/12/2025 17:00;15,80%
17/12/2025 17:00;15,80%
17/12/2025 17:01;15,80%
17/12/2025 17:01;15,80%
17/12/2025 17:02;15,80%
17/12/2025 17:02;15,80%
17/12/2025 17:03;15,80%
17/12/2025 17:03;15,80%
17/12/2025 17:04;15,80%
17/12/2025 17:04;15,80%
17/12/2025 17:05;15,80%
17/12/2025 17:05;15,80%
17/12/2025 17:06;15,80%
17/12/2025 17:06;15,80%
17/12/2025 17:07;15,80%
17/12/2025 17:07;15,80%
17/12/2025 17:08;15,80%
17/12/2025 17:08;15,80%
17/12/2025 17:09;15,80%
17/12/2025 17:09;15,80%
17/12/2025 17:10;15,80%
17/12/2025 17:10;15,80%
17/12/2025 17:11;15,80%
17/12/2025 17:11;15,80%
17/12/2025 17:12;15,80%
17/12/2025 17:12;15,80%
17/12/2025 17:13;15,80%
17/12/2025 17:13;15,80%
17/12/2025 17:14;15,80%
17/12/2025 17:14;15,80%
17/12/2025 17:15;15,80%
17/12/2025 17:15;15,80%
17/12/2025 17:16;15,80%
17/12/2025 17:16;15,80%
17/12/2025 17:17;15,80%
17/12/2025 17:17;15,80%
17/12/2025 17:18;15,80%
17/12/2025 17:18;15,80%
17/12/2025 17:19;15,80%
17/12/2025 17:19;15,80%
17/12/2025 17:20;15,80%
17/12/2025 17:20;15,80%
17/12/2025 17:21;15,80%
17/12/2025 17:21;15,80%
17/12/2025 17:22;15,80%
17/12/2025 17:22;15,80%
;15%
